uri	gender	birthDate	deathDate	activeDate	birthPlace	deathPlace	nameLat	firstNameLat	lastNameLat	normLa	nameAra	firstNameAra	lastNameAra	alternateNameAra	alternateFirstNameAra	alternateLastNameAra	alternateNameLat	alternateFirstNameLat	alternateLastNameLat
DiJeSt207460						[]	Eilon, Sharon	Sharon	Eilon	Sharon Eilon	أيالون، شارون	شارون	أيالون	set()	set()	set()	set()	set()	set()
DiJeSt207922	male					[]	Hamid, Rauf Abbas	Rauf Abbas	Hamid	Rauf Abbas Hamid	محمد، رؤوف عباس حامد	رؤوف عباس حامد	محمد	{'حامد، رءوف عباس', 'عباس، رؤوف', 'حامد، رؤوف عباس', 'عباس، رءوف', 'أحمد، رؤوف عباس'}	{'رؤوف عباس', 'رءوف عباس', 'رءوف', 'رؤوف'}	{'حامد، رءوف عباس', 'عباس، رؤوف', 'حامد، رؤوف عباس', 'عباس، رءوف', 'أحمد، رؤوف عباس'}	{'Rauf Abbas Hamid Muhammad', 'Muhammad, Rauf Abbas Hamid', 'Hamed, Raouf Abbas', 'Abbas, Raouf', 'Rauf Abbas Hamid', 'ʻAbbās, Raʾūf'}	'', 'Raouf', 'Raʾūf', 'Raouf Abbas', 'Rauf Abbas Hamid'	'', 'ʻAbbās', 'Abbas', 'Hamed', 'Muhammad'
DiJeSt208249	male					[]	Shivtiel, Avihai	Avihai	Shivtiel	Avihai Shivtiel	شيفتيل، افيحاي	افيحاي	شيفتيل	set()	set()	set()	{'Shivtiel, Avi', 'Shivtiel, A.'}	'Avi', 'A.'	'Shivtiel'
DiJeSt208499	male	1951				[]	Ophir, Adi	Adi	Ophir	Adi Ophir	أوفير، عدي	عدي	أوفير	set()	set()	set()	set()	set()	set()
DiJeSt208794	male	1922-02-18	2009-01-10			[]	ʻĀlim, Maḥmūd Amīn	Maḥmūd Amīn	ʻĀlim	Maḥmūd Amīn ʻĀlim	العالم، محمود أمين	محمود أمين	العالم	set()	set()	set()	set()	set()	set()
DiJeSt209278	female					[]	Ṿainshṭeyin, ʻAśi	ʻAśi	Ṿainshṭeyin	ʻAśi Ṿainshṭeyin	فاينشطاين، عسي	عسي	فاينشطاين	set()	set()	set()	set()	set()	set()
DiJeSt209322						[]					بيبرمان، ميلات	ميلات	بيبرمان	set()	set()	set()	set()	set()	set()
DiJeSt209485	female	1938				[]	Chaver, Yael	Yael	Chaver	Yael Chaver	حيڨير، ياعيل	ياعيل	حيڨير	set()	set()	set()	set()	set()	set()
DiJeSt209710	male	1931	2011-10-02			[]	ʻAlī, Ṭāhā Muḥammad	Ṭāhā Muḥammad	ʻAlī	Ṭāhā Muḥammad ʻAlī	علي، طه محمد	طه محمد	علي	{'محمد علي، طه'}	{'طه'}	{'محمد علي، طه'}	{'Muhammad Ali, Taha'}	'Taha'	'Muhammad Ali'
DiJeSt209751	male					[]	Svirsky, Marcelo	Marcelo	Svirsky	Marcelo Svirsky	سڤيرسكي، مارسيليو	مارسيليو	سڤيرسكي	set()	set()	set()	set()	set()	set()
DiJeSt210041	female	1953				[]	Raz, Orit	Orit	Raz	Orit Raz	راز، اوريت	اوريت	راز	set()	set()	set()	set()	set()	set()
DiJeSt210070	male	1975			Los Angeles (Calif.)	[]	Roman, Hillel	Hillel	Roman	Hillel Roman	رومان، هيلل	هيلل	رومان	set()	set()	set()	{'Roman, Hilel'}	'Hilel'	'Roman'
DiJeSt210149	male					[]	McGraw, Jay	Jay	McGraw	Jay McGraw	مک گراو، جى	جى	مک گراو	set()	set()	set()	set()	set()	set()
DiJeSt210276	female					[]	Leḳeṭ, Rut	Rut	Leḳeṭ	Rut Leḳeṭ	ليكيت، روت	روت	ليكيت	set()	set()	set()	set()	set()	set()
DiJeSt210347	male	1891	1976			[]	Polanyi, Michael	Michael	Polanyi	Michael Polanyi	بولاني، مايكل	مايكل	بولاني	set()	set()	set()	{'Polanyi, Michael', 'Polanyi, Mihály'}	'Mihály', 'Michael'	'Polanyi'
DiJeSt210373	female					[]	Tsarfati-Engel, Shulamit	Shulamit	Tsarfati-Engel	Shulamit Tsarfati-Engel	تسرفاتي، شولميت	شولميت	تسرفاتي	set()	set()	set()	{'Tsarefati, Shulamit', 'Engel, Shulamit Tsarfati-', 'Tsarfati, Shulamit', 'Serfaty, Shulamit'}	'Shulamit Tsarfati-', 'Shulamit'	'Tsarfati', 'Tsarefati', 'Serfaty', 'Engel'
DiJeSt210478	female					[]					فيديسلافسكي، مالكا	مالكا	فيديسلافسكي	set()	set()	set()	set()	set()	set()
