uri	related-uri	ccodes	matches	lon	lat
http://data.geo-kima.org/Place/6296	https://ismi.mpiwg-berlin.mpg.de/place/86266	SE	https://www.wikidata.org/wiki/Q25286;https://www.geonames.org/2666199	17.638946597524	59.849760548324
http://data.geo-kima.org/Place/6421	https://ismi.mpiwg-berlin.mpg.de/place/173554		https://www.wikidata.org/wiki/Q30	-77.036666666667	38.895
http://data.geo-kima.org/Place/17990	https://ismi.mpiwg-berlin.mpg.de/place/173272		https://www.wikidata.org/wiki/Q265	66	41
http://data.geo-kima.org/Place/6907	https://ismi.mpiwg-berlin.mpg.de/place/38383		https://www.wikidata.org/wiki/Q237	12.453	41.904
http://data.geo-kima.org/Place/6907	https://ismi.mpiwg-berlin.mpg.de/place/43921		https://www.wikidata.org/wiki/Q237	12.453	41.904
http://data.geo-kima.org/Place/14405	https://ismi.mpiwg-berlin.mpg.de/place/458696	IQ			
http://data.geo-kima.org/Place/8666	https://ismi.mpiwg-berlin.mpg.de/place/87640	AM	https://www.wikidata.org/wiki/Q1953	44.514444444444	40.181388888889
http://data.geo-kima.org/Place/13099	https://ismi.mpiwg-berlin.mpg.de/place/87882	TR	https://www.wikidata.org/wiki/Q210292;https://www.geonames.org/296562	34.808333333333	39.820833333333
http://data.geo-kima.org/Place/20079	https://usaybia.net/place/2	GR	https://www.wikidata.org/wiki/Q188615;https://www.geonames.org/736675	24.98305556	40.95
http://data.geo-kima.org/Place/18760	https://usaybia.net/place/9	GR			
http://data.geo-kima.org/Place/14437	https://usaybia.net/place/14	EG	https://www.wikidata.org/wiki/Q31865526;https://www.geonames.org/361661	31.74503	26.56217
http://data.geo-kima.org/Place/794	https://usaybia.net/place/17	SY	https://www.wikidata.org/wiki/Q41183;https://www.geonames.org/170063	37.15	36.2
http://data.geo-kima.org/Place/8120	https://usaybia.net/place/28		https://www.wikidata.org/wiki/Q43	36	39
http://data.geo-kima.org/Place/6430	https://usaybia.net/place/30	TR	https://www.wikidata.org/wiki/Q3640;https://www.geonames.org/323786	32.85	39.93
http://data.geo-kima.org/Place/11503	https://usaybia.net/place/32	TR	https://www.wikidata.org/wiki/Q200441	36.181666666666665	36.20472222222222
http://data.geo-kima.org/Place/3096	https://usaybia.net/place/33				
http://data.geo-kima.org/Place/3597	https://usaybia.net/place/34		https://www.wikidata.org/wiki/Q618495;https://www.geonames.org/7733053	28.723611111111	37.708333333333
http://data.geo-kima.org/Place/6821	https://usaybia.net/place/37	IT	https://www.wikidata.org/wiki/Q53216	13.366666666667	45.766666666667
http://data.geo-kima.org/Place/15327	https://usaybia.net/place/38	GR			
http://data.geo-kima.org/Place/7426	https://usaybia.net/place/39				
http://data.geo-kima.org/Place/16888	https://usaybia.net/place/40	IL	https://www.wikidata.org/wiki/Q60956	34.566388888889	31.665833333333
http://data.geo-kima.org/Place/8120	https://usaybia.net/place/41		https://www.wikidata.org/wiki/Q43	36	39
http://data.geo-kima.org/Place/12030	https://usaybia.net/place/42	EG	https://www.wikidata.org/wiki/Q29888	32.899730555556	24.088919444444
http://data.geo-kima.org/Place/7259	https://usaybia.net/place/43	EG	https://www.wikidata.org/wiki/Q29962	31.171388888889	27.186944444444
http://data.geo-kima.org/Place/1960	https://usaybia.net/place/46		https://www.wikidata.org/wiki/Q97	-30	0
http://data.geo-kima.org/Place/17993	https://usaybia.net/place/51		https://www.wikidata.org/wiki/Q227	47.7	40.3
http://data.geo-kima.org/Place/10819	https://usaybia.net/place/55	LB	https://www.wikidata.org/wiki/Q178835;https://www.geonames.org/277130	36.208611111111	34.006111111111
http://data.geo-kima.org/Place/13065	https://usaybia.net/place/74	ES	https://www.wikidata.org/wiki/Q15679;https://www.geonames.org/2521420	-6.9752777777778	38.880277777778
http://data.geo-kima.org/Place/20171	https://usaybia.net/place/76	SA	https://www.wikidata.org/wiki/Q27256;https://www.geonames.org/107744	38.790555555556	23.78
http://data.geo-kima.org/Place/662	https://usaybia.net/place/77	IQ	https://www.wikidata.org/wiki/Q1530;https://www.geonames.org/98182	44.40088	33.34058
http://data.geo-kima.org/Place/7482	https://usaybia.net/place/79		https://www.wikidata.org/wiki/Q398	50.551111	26.0675
http://data.geo-kima.org/Place/13742	https://usaybia.net/place/81	AF	https://www.wikidata.org/wiki/Q182159;https://www.geonames.org/1147290	66.898888888889	36.758055555556
http://data.geo-kima.org/Place/1806	https://usaybia.net/place/82				
http://data.geo-kima.org/Place/12621	https://usaybia.net/place/88	LY			
http://data.geo-kima.org/Place/9541	https://usaybia.net/place/89	IQ	https://www.wikidata.org/wiki/Q48195;https://www.geonames.org/99532	47.81	30.488888888889
http://data.geo-kima.org/Place/556	https://usaybia.net/place/97	PS	https://www.wikidata.org/wiki/Q5776;https://www.geonames.org/284315	35.206111111111	31.704444444444
http://data.geo-kima.org/Place/22392	https://usaybia.net/place/100	EG	https://www.wikidata.org/wiki/Q393495;https://www.geonames.org/358840	31.566666666667	30.416666666667
http://data.geo-kima.org/Place/16162	https://usaybia.net/place/108				
http://data.geo-kima.org/Place/17751	https://usaybia.net/place/110	SY	https://www.wikidata.org/wiki/Q272680;https://www.geonames.org/171126	36.483333333333	32.516666666667
http://data.geo-kima.org/Place/17625	https://usaybia.net/place/111	DZ	https://www.geonames.org/2505325	4.91667	36.66667
http://data.geo-kima.org/Place/8481	https://usaybia.net/place/119		https://www.wikidata.org/wiki/Q12544	28.98472222	41.01527778
http://data.geo-kima.org/Place/6936	https://usaybia.net/place/120	IL	https://www.wikidata.org/wiki/Q1325255;https://www.geonames.org/7117228	34.892897222222	32.490697222222
http://data.geo-kima.org/Place/9140	https://usaybia.net/place/125	ES	https://www.wikidata.org/wiki/Q63092	-5.6422222222222	37.471111111111
http://data.geo-kima.org/Place/1131	https://usaybia.net/place/126				
http://data.geo-kima.org/Place/16591	https://usaybia.net/place/129	IT	https://www.wikidata.org/wiki/Q54597;https://www.geonames.org/2525053	16.416666666667	38.383333333333
http://data.geo-kima.org/Place/8782	https://usaybia.net/place/131	ES	https://www.wikidata.org/wiki/Q5823	-5.3	35.886667
http://data.geo-kima.org/Place/6640	https://usaybia.net/place/134				
http://data.geo-kima.org/Place/7218	https://usaybia.net/place/135				
http://data.geo-kima.org/Place/17289	https://usaybia.net/place/136	GR	https://www.wikidata.org/wiki/Q748832;https://www.geonames.org/259972	26.1375	38.3725
http://data.geo-kima.org/Place/2735	https://usaybia.net/place/139		https://www.wikidata.org/wiki/Q1743884;https://www.geonames.org/10128058	33.630545	34.923296
http://data.geo-kima.org/Place/6927	https://usaybia.net/place/140				
